蓚,-1,-1,15000,名詞,サ変接続,*,*,*,*,蓚,シュー,シュー,0/3,C0
⡝,-1,-1,15000,名詞,サ変接続,*,*,*,*,⡝,イチサンヨンゴーナナノテン,イチサンヨンゴーナナノテン,0/13,C0
郢,-1,-1,15000,名詞,サ変接続,*,*,*,*,郢,エイ,エイ,0/2,C0
嗤,-1,-1,15000,名詞,サ変接続,*,*,*,*,嗤,シ,シ,0/1,C0
髦,-1,-1,15000,名詞,サ変接続,*,*,*,*,髦,ボー,ボー,0/2,C0
⣲,-1,-1,15000,名詞,サ変接続,*,*,*,*,⣲,ニーゴーロクナナハチノテン,ニーゴーロクナナハチノテン,0/13,C0
錺,-1,-1,15000,名詞,サ変接続,*,*,*,*,錺,キチ,キチ,0/2,C0
窿,-1,-1,15000,名詞,サ変接続,*,*,*,*,窿,リュー,リュー,0/3,C0
餾,-1,-1,15000,名詞,サ変接続,*,*,*,*,餾,リュー,リュー,0/3,C0
聘,-1,-1,15000,名詞,サ変接続,*,*,*,*,聘,ヘイ,ヘイ,0/2,C0
鑠,-1,-1,15000,名詞,サ変接続,*,*,*,*,鑠,シャク,シャク,0/3,C0
珥,-1,-1,15000,名詞,サ変接続,*,*,*,*,珥,ジ,ジ,0/1,C0
秩,-1,-1,15000,名詞,サ変接続,*,*,*,*,秩,チツ,チツ,0/2,C0
當,-1,-1,15000,名詞,サ変接続,*,*,*,*,當,トー,トー,0/2,C0
螂,-1,-1,15000,名詞,サ変接続,*,*,*,*,螂,ロー,ロー,0/2,C0
渇,-1,-1,15000,名詞,サ変接続,*,*,*,*,渇,カツ,カツ,0/2,C0
變,-1,-1,15000,名詞,サ変接続,*,*,*,*,變,ヘン,ヘン,0/2,C0
岐,-1,-1,15000,名詞,サ変接続,*,*,*,*,岐,キ,キ,0/1,C0
蘗,-1,-1,15000,名詞,サ変接続,*,*,*,*,蘗,ハク,ハク,0/2,C0
訟,-1,-1,15000,名詞,サ変接続,*,*,*,*,訟,ショー,ショー,0/3,C0
⠳,-1,-1,15000,名詞,サ変接続,*,*,*,*,⠳,イチニーゴーロクノテン,イチニーゴーロクノテン,0/11,C0
聲,-1,-1,15000,名詞,サ変接続,*,*,*,*,聲,セイ,セイ,0/2,C0
営,-1,-1,15000,名詞,サ変接続,*,*,*,*,営,エイ,エイ,0/2,C0
麼,-1,-1,15000,名詞,サ変接続,*,*,*,*,麼,マ,マ,0/1,C0
蕁,-1,-1,15000,名詞,サ変接続,*,*,*,*,蕁,ジン,ジン,0/2,C0
荅,-1,-1,15000,名詞,サ変接続,*,*,*,*,荅,トー,トー,0/2,C0
淆,-1,-1,15000,名詞,サ変接続,*,*,*,*,淆,コー,コー,0/2,C0
⣈,-1,-1,15000,名詞,サ変接続,*,*,*,*,⣈,ヨンナナハチノテン,ヨンナナハチノテン,0/9,C0
靍,-1,-1,15000,名詞,サ変接続,*,*,*,*,靍,カク,カク,0/2,C0
剏,-1,-1,15000,名詞,サ変接続,*,*,*,*,剏,ソー,ソー,0/2,C0
燎,-1,-1,15000,名詞,サ変接続,*,*,*,*,燎,リョー,リョー,0/3,C0
